the_version,non_the_version,the_count,non_the_count
The Guadalupe Art Program,Guadalupe Art Program,1,2
The Hand Up Youth Food Pantry Student Advisory Board,Hand Up Youth Food Pantry Student Advisory Board,1,2
The Heart and Soul Coalition,Heart and Soul Coalition,1,2
The Home Office and Business Opportunities Association of California,Home Office and Business Opportunities Association of California,1,2
"The Honorable Dean F. Andal, Member, Board of Equalization","Honorable Dean F. Andal, Member, Board of Equalization",1,2
"The Honorable Jerry Brown, Mayor of Oakland","Honorable Jerry Brown, Mayor of Oakland",1,2
The Humane Society of the U.S,Humane Society of the U.S,1,2
The Hungry Planet,Hungry Planet,1,2
The Huntington Group,Huntington Group,1,2
The IT Corporation,IT Corporation,1,2
The Immigrant Health Equity and Legal Partnership,Immigrant Health Equity and Legal Partnership,1,2
The In Home Supportive Services Advisory Committee San Bernardino,In Home Supportive Services Advisory Committee San Bernardino,1,2
The Inland Valley,Inland Valley,1,2
The John Burton Advocates for Youth,John Burton Advocates For Youth,1,2
The K.W. Lee Center for Leadership,K.W. Lee Center for Leadership,1,2
The LGBT Center Orange County,LGBT Center Orange County,1,2
The Law,law,1,2
The Legal Aid Society-Employment Law Center (Co-Sponsor),Legal Aid Society-Employment Law Center (Co-Sponsor),1,2
The Lgbt Asylum Project,LGBT Asylum Project,1,2
The London Group,London Group,1,2
The Los Angeles Institute and Society for Psychoanalytic Studies,Los Angeles Institute and Society for Psychoanalytic Studies,1,2
"The Los Angeles Kings Hockey Club, LP","Los Angeles Kings Hockey Club, LP",1,2
The Loyola Law School Center for Conflict Resolution,Loyola Law School Center for Conflict Resolution,1,2
The Market Street Association,Market Street Association,1,2
The Metropolitan Water District Of Southern California,Metropolitan Water District Of Southern California,1,2
The Michelson Center for Public Policy (Co-Sponsor),Michelson Center for Public Policy (Co-Sponsor),1,2
The Mimi and Peter Haas Fund,Mimi and Peter Haas Fund,1,2
The Myositis Association,Myositis Association,1,2
The National Accounting Firms,National Accounting Firms,1,2
The National Alliance for the Mentally,National Alliance for the Mentally,1,2
The National Business,National Business,1,2
The National Consumer Voice for Quality Long Term Care,National Consumer Voice for Quality Long Term Care,1,2
"The National Latina/o Lesbian, Gay, Bisexual & Transgender","National Latina/o Lesbian, Gay, Bisexual & Transgender",1,2
The National Native American AIDS Prevention Center,National Native American AIDS Prevention Center,1,2
The National Vehicle Protection Association,National Vehicle Protection Association,1,2
The Nature,Nature,1,2
The Non-Profit Housing Association of California,Non-Profit Housing Association of California,1,2
The Oakland Youth Commission,Oakland Youth Commission,1,2
The Office of Justice and Peace of the Archdiocese of Los,Office of Justice and Peace of the Archdiocese of Los,1,2
The Oley Foundation,Oley Foundation,1,2
The Osteopathic Physicians and Surgeons of,Osteopathic Physicians and Surgeons of,1,2
The Pacific Club IMPACT Foundation,Pacific Club IMPACT Foundation,1,2
The Pelagic Shark Research Foundation,Pelagic Shark Research Foundation,1,2
The Performance,Performance,1,2
The Pharmaceutical Researchers and Manufacturers Association,Pharmaceutical Researchers and Manufacturers Association,1,2
The Philanthropy Roundtable,Philanthropy Roundtable,1,2
The Ponderosa Telephone Company,Ponderosa Telephone Company,1,2
The Professional Insurance Agents Group (PIA),Professional Insurance Agents Group (PIA),1,2
The Remedy Pharm,Remedy Pharm,1,2
The Resolve LRA Crisis Initiative,Resolve LRA Crisis Initiative,1,2
"The Retired Officers Association, California Council of Chapters","Retired Officers Association, California Council of Chapters",1,2
The Retired Public Employees,Retired Public Employees,1,2
The Rich Pelletreau Wildlife Gallery and Studio,Rich Pelletreau Wildlife Gallery and Studio,1,2
The Riverside Sheriffs' Association (Co-Sponsor),Riverside Sheriffs' Association (Co-Sponsor),1,2
The Ron Finley Project,Ron Finley Project,1,2
The Rouse Company,Rouse Company,1,2
The Rural Quality Coalition of Nevada County,Rural Quality Coalition of Nevada County,1,2
The Samoan Community Development Center,Samoan Community Development Center,1,2
The San Francisco Childcare Planning and Advisory Council,San Francisco Childcare Planning and Advisory Council,1,2
The San Francisco Department of Emergency Management,San Francisco Department of Emergency Management,1,2
The San Francisco Wraparound Project,San Francisco Wraparound Project,1,2
"The Schaber Company, Ltd","Schaber Company, Ltd",1,2
The Sheriff of,Sheriff of,1,2
The Sheriff of Orange County,Sheriff of Orange County,1,2
The Sheriff of Placer County,Sheriff of Placer County,1,2
The Sierra Club Foundation,Sierra Club Foundation,1,2
The Sierra County Democratic Central Committee,Sierra County Democratic Central Committee,1,2
The Simon,Simon,1,2
The Southern Low Desert Resource Conservation and Development,Southern Low Desert Resource Conservation and Development,1,2
The Spectator,Spectator,1,2
The Sportfishing Financial Group,Sportfishing Financial Group,1,2
The Sports Club Company,Sports Club Company,1,2
The Sports Management Group,Sports Management Group,1,2
"The State Bar of California, Family Law","State Bar of California, Family Law",1,2
The State Public Affairs Committee (SPAC) of the Junior Leagues of California,State Public Affairs Committee (SPAC) of the Junior Leagues of California,1,2
The Tofurky Company,Tofurky Company,1,2
The TransLatin@Coalition,TransLatin@Coalition,1,2
The UCLA Economic and Crisis Response Team,UCLA Economic and Crisis Response Team,1,2
The UCLA Students Facilities Commission,UCLA Students Facilities Commission,1,2
The UCLA Undergraduate Students Association's Office of the External Vice President,UCLA Undergraduate Students Association's Office of the External Vice President,1,2
The VOICED Coalition,VOICED Coalition,1,2
"The Villa Center, INC","Villa Center, Inc",1,2
The Village Nation,Village Nation,1,2
The Voiced Coalition,VOICED Coalition,1,2
The Volvo Group,Volvo Group,1,2
The William D. Lynch Foundation for Children,William D. Lynch Foundation for Children,1,2
the AMVETS- Department of California,AMVETs- Department of California,1,2
the Avalon Medical Development Corporation,Avalon Medical Development Corporation,1,2
the Blue Shield of California,Blue Shield Of California,1,2
the CA State Sheriffs Association,CA State Sheriffs Association,1,2
the California Medical Association,California Medical ASsociation,1,2
the California Pan-Ethnic Health Network,California PAN-Ethnic Health Network,1,2
the City and County of San Francisco,City And County of San Francisco,1,2
the Coalition of California Welfare Rights Organizations,Coalition Of California Welfare Rights Organizations,1,2
the Collective for Liberatory Lawyering,Collective for Liberatory Lawyering,1,2
the County of Los Angeles Department of Parks and Recreation,County of Los Angeles Department of Parks and Recreation,1,2
the Diocese of Oakland,Diocese of Oakland,1,2
the Edge Coalition,Edge Coalition,1,2
"the JP Squared Consulting, LLC","JP Squared Consulting, LLC",1,2
the John Burton Advocates for Youth,John Burton Advocates For Youth,1,2
the K.W. Lee Center for Leadership,K.W. Lee Center for Leadership,1,2
the Living Desert Zoo and Garden,Living Desert Zoo and Garden,1,2
the Nicole Brown Simpson,Nicole Brown Simpson,1,2
the Planning and Conservation League,PLANNING AND CONSERVATION LEAGUE,1,2
the Redrover,Redrover,1,2
the Sacramento Area Coalition of Mobilehomeowner Associations,Sacramento Area Coalition of Mobilehomeowner Associations,1,2
the Santa Ynez Band of Chumash Indians,Santa Ynez Band Of Chumash Indians,1,2
the Securities Industry Association (SIA),Securities Industry Association (SIA),1,2
the Small Business Connection,Small Business Connection,1,2
the South Colton Diversity Committee,South Colton Diversity Committee,1,2
the State of California,State of California,1,2
the Superior Court of San Bernardino County,Superior Court of San Bernardino County,1,2
the Three Trees Delivery,Three Trees Delivery,1,2
the Wine,Wine,1,2
THE TRUST FOR PUBLIC LAND,TRUST FOR PUBLIC LAND,1,1
The 5 Gyres Institute (Co-Sponsor),5 Gyres Institute (Co-Sponsor),1,1
"The AFSCME, AFL-CIO","AFSCME, AFl-CIO",1,1
The AIDS Institute,Aids Institute,1,1
The ALS Association - Golden West Chapter,ALS Association - Golden West Chapter,1,1
The ARC and United Cerebral Palsy,ARC and United Cerebral Palsy,1,1
The Alameda County Board of Supervisors,ALAMEDA COUNTY BOARD OF SUPERVISORS,1,1
The Alameda County Breastfeeding Task Force,Alameda County Breastfeeding Task Force,1,1
The Alcohol and Drug Abuse Prevention Task Force Coalition,Alcohol and Drug Abuse Prevention Task Force Coalition,1,1
The Allergy Station,Allergy Station,1,1
The Alliance for Children's,Alliance for Children's,1,1
The Alliance for Nuclear Responsibility,Alliance For Nuclear Responsibility,1,1
The Alliance for a Better Community,Alliance For a Better Community,1,1
"The Alliance of Special Effects and Pyrotechnic Operators, Inc","Alliance of Special Effects and Pyrotechnic Operators, Inc",1,1
The American Association for Marriage and Family Therapy-California,American Association for Marriage and Family Therapy-California,1,1
The American Association of Retired Persons,American Association Of Retired Persons,1,1
The American Civil Liberties Coalition,American Civil Liberties Coalition,1,1
The American College of Obstetricians and Gynecologists District,American College of Obstetricians and Gynecologists District,1,1
"The American College of Obstetrics and Gynecologists, District IX (California)","American College of Obstetrics and Gynecologists, District IX (California)",1,1
The American Heart/American Stroke Association (AHA/ASA),American Heart/American Stroke Association (AHA/ASA),1,1
The American Legion Department of California Chinatown Post 628,American Legion Department of California Chinatown Post 628,1,1
"The American Legion, Dept. of California","American Legion, Dept. of California",1,1
The American Plasma Users Association,American Plasma Users Association,1,1
The Apartment Association of Orange County,Apartment Association Of Orange County,1,1
The Arc & United Cerebral Palsy CA Collaboration,Arc & United Cerebral Palsy CA Collaboration,1,1
The Arc and United Cerebral California Collaboration,Arc and United Cerebral California Collaboration,1,1
The Aresis Ensemble Inc,Aresis Ensemble INC,1,1
The Arms Control Association,Arms Control Association,1,1
